Timestamp,Yaw,Pitch,Roll,Qtn[0], Qtn[1], Qtn[2], Qtn[3],Rate X,Rate Y,Rate Z,Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Temp,Pres,dTime,dTheta X,dTheta Y,dTheta Z,dVel X,dVel Y,dVel Z,MagNed X,MagNed Y,MagNed Z,AccelNed X,AccelNed Y,AccelNed Z,LinearAccel X,LinearAccel Y,LinearAccel Z,LinearAccelNed X,LinearAccelNed Y,LinearAccelNed Z
2867.86,38.1761,-87.0767,30.4941,0.397493,-0.56571,0.399909,0.601702,0.02119,-0.00249339,0.000717473,-9.79463,-0.195715,-0.451055,0.384572,-0.129982,0.0505101,32.67,101.172,0.024999,-0.00333087,0.00165672,0.00900642,-0.244358,-0.00620475,-0.0128579,0.118101,-0.0822254,0.382927,-0.0467978,0.0398399,-9.80678,-0.0136325,0.0577382,-0.020675,-0.0467978,0.0398399,-0.0130291
2867.88,38.1572,-87.0763,30.5107,0.397487,-0.565714,0.399892,0.601713,0.00791485,0.00112858,2.94E-05,-9.74082,-0.341095,-0.479682,0.382665,-0.125856,0.0480974,32.67,101.161,0.025001,-0.00270851,0.00355563,0.00900836,-0.24515,-0.00618382,-0.00983647,0.115061,-0.0785439,0.381021,0.100933,0.0152969,-9.75805,0.040178,-0.0874705,-0.0492974,0.100933,0.0152969,0.0356941
2867.91,38.1572,-87.0763,30.5107,0.397487,-0.565714,0.399892,0.601713,0.00791485,0.00112858,2.94E-05,-9.74082,-0.341095,-0.479682,0.382665,-0.125856,0.0480974,32.67,101.161,0.025001,-0.00270851,0.00355563,0.00900836,-0.24515,-0.00618382,-0.00983647,0.115061,-0.0785439,0.381021,0.100933,0.0152969,-9.75805,0.040178,-0.0874705,-0.0492974,0.100933,0.0152969,0.0356941
2867.93,38.1329,-87.0799,30.5293,0.397466,-0.565756,0.399855,0.601712,0.0170885,-0.000300008,0.00239552,-9.78504,-0.114105,-0.557486,0.385603,-0.124898,0.0493727,32.67,101.172,0.025,-0.00715785,0.00279092,0.010148,-0.244501,-0.00699871,-0.0108874,0.113803,-0.0793208,0.384036,-0.0835318,0.169499,-9.79975,-0.00400983,0.139351,-0.127705,-0.0835318,0.169499,-0.00600243
2867.96,38.1329,-87.0799,30.5293,0.397466,-0.565756,0.399855,0.601712,0.0170885,-0.000300008,0.00239552,-9.78504,-0.114105,-0.557486,0.385603,-0.124898,0.0493727,32.67,101.172,0.025,-0.00715785,0.00279092,0.010148,-0.244501,-0.00699871,-0.0108874,0.113803,-0.0793208,0.384036,-0.0835318,0.169499,-9.79975,-0.00400983,0.139351,-0.127705,-0.0835318,0.169499,-0.00600243
2867.98,38.0494,-87.0814,30.6072,0.397464,-0.565783,0.399801,0.601723,0.0171083,-0.000354057,-0.000789479,-9.74065,-0.121685,-0.48766,0.382763,-0.117603,0.0593886,32.67,101.172,0.025001,-0.00535613,0.00271791,0.00914487,-0.244562,-0.00528208,-0.0107096,0.103261,-0.0861127,0.38182,-0.100231,0.103855,-9.75254,0.0403923,0.132214,-0.0584631,-0.100231,0.103855,0.0412054
2868.01,37.9721,-87.0821,30.6818,0.397474,-0.565796,0.399763,0.60173,0.0199213,-0.0007328,0.000901529,-9.76686,-0.274467,-0.490157,0.383566,-0.132065,0.0402472,32.68,101.165,0.025001,-0.00121131,0.00269073,0.00935851,-0.244894,-0.00487284,-0.0112157,0.123714,-0.0735704,0.3814,0.0415454,0.0502707,-9.78279,0.0141881,-0.0200699,-0.0613938,0.0415454,0.0502707,0.0109606
2868.03,37.9721,-87.0821,30.6818,0.397474,-0.565796,0.399763,0.60173,0.0199213,-0.0007328,0.000901529,-9.76686,-0.274467,-0.490157,0.383566,-0.132065,0.0402472,32.68,101.165,0.025001,-0.00121131,0.00269073,0.00935851,-0.244894,-0.00487284,-0.0112157,0.123714,-0.0735704,0.3814,0.0415454,0.0502707,-9.78279,0.0141881,-0.0200699,-0.0613938,0.0415454,0.0502707,0.0109606
2868.06,37.9377,-87.0834,30.7122,0.397464,-0.565818,0.399732,0.601737,0.0131888,-0.000106012,-8.23E-05,-9.79846,-0.166287,-0.447394,0.383728,-0.117717,0.0446556,32.67,101.184,0.024999,-0.00455226,0.0014677,0.00932474,-0.244608,-0.00719387,-0.0116966,0.108757,-0.0724612,0.382125,-0.075932,0.0492565,-9.80966,-0.0173996,0.0882205,-0.0189609,-0.075932,0.0492565,-0.015914
2868.08,37.9377,-87.0834,30.7122,0.397464,-0.565818,0.399732,0.601737,0.0131888,-0.000106012,-8.23E-05,-9.79846,-0.166287,-0.447394,0.383728,-0.117717,0.0446556,32.67,101.184,0.024999,-0.00455226,0.0014677,0.00932474,-0.244608,-0.00719387,-0.0116966,0.108757,-0.0724612,0.382125,-0.075932,0.0492565,-9.80966,-0.0173996,0.0882205,-0.0189609,-0.075932,0.0492565,-0.015914
