Timestamp,Yaw,Pitch,Roll,Qtn[0], Qtn[1], Qtn[2], Qtn[3],Rate X,Rate Y,Rate Z,Accel X,Accel Y,Accel Z,Temp,Pres,dTime,dTheta X,dTheta Y,dTheta Z,dVel X,dVel Y,dVel Z,AccelNed X,AccelNed Y,AccelNed Z,LinearAccel X,LinearAccel Y,LinearAccel Z,LinearAccelNed X,LinearAccelNed Y,LinearAccelNed Z
2258.56,-140.27,88.4097,-26.8871,-0.58114,-0.387169,0.600643,-0.389364,-0.00305152,-0.00126267,-0.000600358,9.80336,0.0957466,-0.239103,33.71,99.361,0.024999,-0.00830367,0.00110446,0.00665401,0.244183,0.00280381,-0.00608021,-0.0265417,0.0075022,-9.8067,0.0133851,-0.027174,0.00332175,-0.0265417,0.0075022,-0.0129566
2258.59,-140.27,88.4097,-26.8871,-0.58114,-0.387169,0.600643,-0.389364,-0.00305152,-0.00126267,-0.000600358,9.80336,0.0957466,-0.239103,33.71,99.361,0.024999,-0.00830367,0.00110446,0.00665401,0.244183,0.00280381,-0.00608021,-0.0265417,0.0075022,-9.8067,0.0133851,-0.027174,0.00332175,-0.0265417,0.0075022,-0.0129566
2258.61,-140.272,88.4086,-26.8831,-0.581153,-0.387137,0.600671,-0.389334,0.00218927,0.000187509,-0.000663301,9.78761,0.137837,-0.260695,33.7,99.345,0.025,0.000745891,0.0014426,0.00653526,0.244541,0.00274556,-0.00683857,0.0208452,0.0107416,-9.79202,-0.00236047,0.0148425,-0.0180834,0.0208452,0.0107416,0.0017252
2258.64,-140.272,88.4086,-26.8831,-0.581153,-0.387137,0.600671,-0.389334,0.00218927,0.000187509,-0.000663301,9.78761,0.137837,-0.260695,33.7,99.345,0.025,0.000745891,0.0014426,0.00653526,0.244541,0.00274556,-0.00683857,0.0208452,0.0107416,-9.79202,-0.00236047,0.0148425,-0.0180834,0.0208452,0.0107416,0.0017252
2258.66,-141.222,88.4049,-27.8077,-0.581199,-0.387164,0.600796,-0.389045,0.0543514,0.0515347,-0.0821976,76.8245,-7.26376,-1.19527,33.7075,99.678,0.025,0.0211829,0.00962021,-0.0180783,0.706677,-0.0421278,-0.014117,-7.85719,2.64446,-76.7298,67.0345,-7.39095,-0.954117,-7.85719,2.64446,-66.9361
2258.69,-141.762,88.4756,-28.144,-0.58232,-0.386228,0.601064,-0.387884,0.150732,0.117909,0.0886676,71.5214,2.8998,-1.65617,33.7,99.311,0.025,0.199094,0.07082,0.0266189,1.86492,0.0721232,-0.0796165,1.82488,-0.82282,-71.5714,61.7312,2.77688,-1.42639,1.82488,-0.82282,-61.7776
2258.72,-141.762,88.4756,-28.144,-0.58232,-0.386228,0.601064,-0.387884,0.150732,0.117909,0.0886676,71.5214,2.8998,-1.65617,33.7,99.311,0.025,0.199094,0.07082,0.0266189,1.86492,0.0721232,-0.0796165,1.82488,-0.82282,-71.5714,61.7312,2.77688,-1.42639,1.82488,-0.82282,-61.7776
2258.74,-148.643,88.4948,-35.1346,-0.582038,-0.387931,0.600604,-0.387319,0.0160861,0.0528111,-0.00296467,72.4803,6.2616,0.146407,33.705,99.334,0.025001,-0.187742,0.0214688,-0.080687,1.80417,0.091546,-0.0266524,4.05661,-3.62328,-72.5468,62.6899,6.11354,0.356799,4.05661,-3.62328,-62.7531
2258.77,-148.643,88.4948,-35.1346,-0.582038,-0.387931,0.600604,-0.387319,0.0160861,0.0528111,-0.00296467,72.4803,6.2616,0.146407,33.705,99.334,0.025001,-0.187742,0.0214688,-0.080687,1.80417,0.091546,-0.0266524,4.05661,-3.62328,-72.5468,62.6899,6.11354,0.356799,4.05661,-3.62328,-62.7531
2258.79,-150.225,88.5026,-36.044,-0.584362,-0.384654,0.60281,-0.383644,0.376,-0.0160708,-0.0174649,73.1456,-2.77382,-0.903979,33.7,99.288,0.025001,0.47219,-0.00715537,0.0489371,1.83423,0.046585,0.00895265,-3.81867,1.01198,-73.097,63.3551,-2.92438,-0.697083,-3.81867,1.01198,-63.3033
2258.82,-150.225,88.5026,-36.044,-0.584362,-0.384654,0.60281,-0.383644,0.376,-0.0160708,-0.0174649,73.1456,-2.77382,-0.903979,33.7,99.288,0.025001,0.47219,-0.00715537,0.0489371,1.83423,0.046585,0.00895265,-3.81867,1.01198,-73.097,63.3551,-2.92438,-0.697083,-3.81867,1.01198,-63.3033
2258.84,-148.247,88.4833,-34.3272,-0.583354,-0.385707,0.602065,-0.385287,-0.251393,7.14E-05,-0.036091,73.3995,-3.20004,-1.03287,33.7,99.3,0.025001,-0.313224,-0.018391,0.0035827,1.83217,-0.0712175,-0.0321817,-4.15799,1.21952,-73.3486,63.6092,-3.34621,-0.818809,-4.15799,1.21952,-63.5549
2258.87,-151.947,88.4169,-38.3163,-0.582,-0.387863,0.601459,-0.386115,-0.161644,0.00823325,-0.0883411,73.6808,3.38725,-0.766685,33.71,99.122,0.024999,-0.290857,0.00744928,-0.113545,1.83642,0.0400828,-0.0327838,1.61323,-1.61313,-73.7273,63.8908,3.2195,-0.554398,1.61323,-1.61313,-63.9336
2258.89,-151.947,88.4169,-38.3163,-0.582,-0.387863,0.601459,-0.386115,-0.161644,0.00823325,-0.0883411,73.6808,3.38725,-0.766685,33.71,99.122,0.024999,-0.290857,0.00744928,-0.113545,1.83642,0.0400828,-0.0327838,1.61323,-1.61313,-73.7273,63.8908,3.2195,-0.554398,1.61323,-1.61313,-63.9336
2258.92,-155.488,88.4141,-42.5405,-0.579746,-0.392044,0.599076,-0.388978,-0.351204,0.0303418,0.0199047,73.3174,6.56896,-1.37999,33.7,99.209,0.024999,-0.410806,0.0448635,-0.0306213,1.83793,0.0593723,-0.0366679,4.73896,-2.13311,-73.4403,63.5274,6.38569,-1.18027,4.73896,-2.13311,-63.6466
2258.94,-155.488,88.4141,-42.5405,-0.579746,-0.392044,0.599076,-0.388978,-0.351204,0.0303418,0.0199047,73.3174,6.56896,-1.37999,33.7,99.209,0.024999,-0.410806,0.0448635,-0.0306213,1.83793,0.0593723,-0.0366679,4.73896,-2.13311,-73.4403,63.5274,6.38569,-1.18027,4.73896,-2.13311,-63.6466
2258.97,-156.171,88.4351,-43.95,-0.577416,-0.395928,0.596433,-0.392554,-0.189542,0.0273252,-0.0432714,73.3042,-4.20893,-3.38722,33.7,99.277,0.024999,-0.383467,-0.0131349,0.0215523,1.83341,-0.00957682,-0.0468194,-4.44663,3.9186,-73.2636,63.5141,-4.39458,-3.19465,-4.44663,3.9186,-63.4699
2258.99,-159.344,88.4732,-47.6985,-0.575781,-0.399386,0.594102,-0.39498,-0.217335,0.055701,0.0350682,73.1179,0.74658,-1.99662,33.7,99.277,0.024999,-0.295209,0.0297501,0.00142754,1.83031,0.0210187,-0.0481631,-0.393278,0.892925,-73.1425,63.3277,0.553566,-1.82098,-0.393278,0.892925,-63.3487
2259.02,-159.344,88.4732,-47.6985,-0.575781,-0.399386,0.594102,-0.39498,-0.217335,0.055701,0.0350682,73.1179,0.74658,-1.99662,33.7,99.277,0.024999,-0.295209,0.0297501,0.00142754,1.83031,0.0210187,-0.0481631,-0.393278,0.892925,-73.1425,63.3277,0.553566,-1.82098,-0.393278,0.892925,-63.3487
2259.04,-160.441,88.5255,-49.0889,-0.575128,-0.401002,0.592723,-0.396364,-0.21314,0.0440223,0.0397529,73.1357,1.18785,-1.83044,33.7,99.277,0.025,-0.295604,0.0579994,0.0265875,1.83326,0.0200358,-0.0321325,-0.00119537,0.642058,-73.1654,63.3452,0.997395,-1.6654,-0.00119537,0.642058,-63.3717
2259.07,-160.441,88.5255,-49.0889,-0.575128,-0.401002,0.592723,-0.396364,-0.21314,0.0440223,0.0397529,73.1357,1.18785,-1.83044,33.7,99.277,0.025,-0.295604,0.0579994,0.0265875,1.83326,0.0200358,-0.0321325,-0.00119537,0.642058,-73.1654,63.3452,0.997395,-1.6654,-0.00119537,0.642058,-63.3717
2259.09,-162.313,88.6973,-51.5618,-0.574145,-0.40409,0.589529,-0.399405,-0.220439,0.0665795,0.0519532,73.1104,1.23267,-2.24645,33.7,99.232,0.025001,-0.306449,0.0791661,0.0680523,1.83234,0.0186393,-0.0418461,0.363988,1.15864,-73.1452,63.3192,1.05822,-2.10799,0.363988,1.15864,-63.3514
2259.12,-162.313,88.6973,-51.5618,-0.574145,-0.40409,0.589529,-0.399405,-0.220439,0.0665795,0.0519532,73.1104,1.23267,-2.24645,33.7,99.232,0.025001,-0.306449,0.0791661,0.0680523,1.83234,0.0186393,-0.0418461,0.363988,1.15864,-73.1452,63.3192,1.05822,-2.10799,0.363988,1.15864,-63.3514
2259.14,-165.685,88.951,-55.5728,-0.573538,-0.407279,0.58566,-0.402716,-0.231262,0.0803932,0.069464,73.2616,1.58843,-1.04023,33.7,99.243,0.025001,-0.331134,0.108686,0.0949642,1.83289,0.0185867,-0.0404733,0.548777,0.0987545,-73.284,63.4695,1.44047,-0.938815,0.548777,0.0987545,-63.4903
2259.17,-167.614,89.2415,-58.2219,-0.572746,-0.41046,0.581366,-0.406815,-0.259928,0.0496985,0.096443,73.3938,1.14865,-1.11022,33.7,99.243,0.025001,-0.371434,0.0917946,0.129929,1.83693,0.0196215,-0.0299534,0.503231,0.457463,-73.4081,63.6009,1.03846,-1.04196,0.503231,0.457463,-63.6143
2259.19,-167.614,89.2415,-58.2219,-0.572746,-0.41046,0.581366,-0.406815,-0.259928,0.0496985,0.096443,73.3938,1.14865,-1.11022,33.7,99.243,0.025001,-0.371434,0.0917946,0.129929,1.83693,0.0196215,-0.0299534,0.503231,0.457463,-73.4081,63.6009,1.03846,-1.04196,0.503231,0.457463,-63.6143
2259.22,-170.616,89.4072,-61.6009,-0.572424,-0.41215,0.579001,-0.408927,-0.266954,0.103603,0.0921566,72.7128,1.03192,-1.65548,33.7075,99.209,0.024999,-0.37979,0.114951,0.131329,1.8203,0.0112763,-0.0630479,0.771823,1.10611,-72.7265,62.9196,0.942687,-1.60723,0.771823,1.10611,-62.9327
