Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Timestamp
0.34242093,-0.8198811,9.98808093,0.07488,-1.23336,-0.37584,0
0.35206659,-0.79094412,9.92056131,0.07776,-1.22976,-0.3492,0
0.32795244,-0.82952676,9.94949829,0.06912,-1.23192,-0.34632,0
0.36171225,-0.79576695,9.90126999,0.06264,-1.23192,-0.37512,0
0.38100357,-0.80541261,9.94467546,0.06912,-1.24272,-0.378,0
0.36653508,-0.79576695,9.93985263,0.05976,-1.23984,-0.37728,0
0.34242093,-0.85364091,9.95914395,0.04824,-1.23768,-0.37656,0
0.40029489,-0.80058978,9.96396678,0.04392,-1.23336,-0.37944,0
0.39064923,-0.81505827,10.00254942,0.06408,-1.22544,-0.39024,0
0.35688942,-0.83917242,9.91091565,0.07776,-1.22976,-0.39456,0
0.3858264,-0.80058978,9.94949829,0.06192,-1.23696,-0.37656,0
0.36171225,-0.81023544,9.80963622,0.07128,-1.23048,-0.39528,0
0.37618074,-0.74753865,9.87715584,0.05328,-1.224,-0.39024,0
0.41958621,-0.76682997,9.97843527,0.05832,-1.24416,-0.39528,0
0.35688942,-0.82470393,9.92056131,0.05544,-1.24128,-0.35784,0
0.40511772,-0.88257789,9.97843527,0.07128,-1.23264,-0.36288,0
0.41476338,-0.81505827,9.96878961,0.06552,-1.22544,-0.34272,0
0.39547206,-0.64625922,10.24369092,0.08712,-1.2276,-0.37224,0
0.37618074,-0.89222355,9.86268735,0.07776,-1.23552,-0.35496,0
0.23149584,-1.01761713,9.76140792,0.07776,-1.24416,-0.35424,0
0.35688942,-0.94527468,9.93985263,0.1008,-1.23696,-0.32904,0
0.36171225,-0.80541261,9.92056131,0.07344,-1.22472,-0.32112,0
0.3858264,-0.75718431,9.96878961,0.04392,-1.23552,-0.35928,0
0.35206659,-0.76682997,9.96878961,0.05544,-1.23048,-0.36288,0
0.40029489,-0.78129846,9.92056131,0.06048,-1.24056,-0.36,0
0.40511772,-0.83917242,9.87715584,0.07848,-1.23624,-0.36288,0
0.37618074,-0.79576695,9.90609282,0.07416,-1.22544,-0.3924,0
0.31830678,-0.86328657,9.92538414,0.05472,-1.2384,-0.3816,0
0.34724376,-0.7716528,9.95914395,0.0396,-1.22472,-0.37008,0
0.35688942,-0.80541261,10.06042338,0.06912,-1.23048,-0.33984,0
0.32795244,-0.78129846,9.89162433,0.06912,-1.2384,-0.35064,0
0.40511772,-0.74271582,9.95914395,0.06768,-1.2564,-0.35352,0
0.40029489,-0.86328657,9.90609282,0.07128,-1.24344,-0.3456,0
0.40994055,-0.75236148,9.9350298,0.06048,-1.242,-0.34632,0
0.43887753,-0.8198811,9.99772659,0.08352,-1.2096,-0.38592,0
0.40994055,-0.80058978,9.92538414,0.08784,-1.23912,-0.41544,0
0.3858264,-0.81505827,9.93020697,0.07488,-1.23624,-0.41256,0
0.35206659,-0.84881808,9.97843527,0.0684,-1.2348,-0.37728,0
0.41958621,-0.76200714,9.89162433,0.072,-1.24344,-0.38592,0
0.3375981,-0.79576695,9.91573848,0.06552,-1.2348,-0.3996,0
0.41958621,-0.8198811,9.91091565,0.04536,-1.242,-0.38376,0
0.38100357,-0.77647563,9.91573848,0.08136,-1.24272,-0.34776,0
0.36653508,-0.79094412,9.91573848,0.08064,-1.24632,-0.35208,0
0.41958621,-0.78612129,9.93985263,0.05904,-1.23552,-0.36864,0
0.4340547,-0.79576695,9.9832581,0.07344,-1.23192,-0.35496,0
0.41958621,-0.84881808,9.93020697,0.07272,-1.23408,-0.35208,0
0.42923187,-0.83917242,9.95914395,0.0648,-1.24704,-0.35856,0
0.46781451,-0.87293223,8.69073966,0.0576,-1.25424,-0.37944,0
0.40511772,-0.81023544,9.95914395,0.05112,-1.24632,-0.378,0
0.3375981,-0.84399525,12.19211424,0.054,-1.2096,-0.38592,0
1.32627825,-2.85993819,34.15045923,0.07416,-1.24776,-0.36144,0
-0.22185018,-4.35501549,78.04785789,-0.3276,-0.50904,0.13752,0
0.5305113,-10.28709639,74.18477106,0.78696,-2.44584,1.16208,0
1.71692748,-11.65678011,72.6800481,-0.7236,-1.67616,0.75528,0
2.42106066,-6.98828067,71.50810041,-1.25136,-2.20536,1.116,0
5.49320337,-9.17302266,71.14638816,-1.0584,-0.90864,1.6488,0
2.56092273,-7.11367425,73.00317771,-0.58032,-1.24776,0.59472,0
-0.65108205,-8.43512967,73.28772468,-0.31608,0.05328,-1.61424,0
-2.49822594,-6.91111539,72.89707545,0.04752,-0.29448,-2.4192,0
-0.94527468,-7.69241385,73.49028354,-0.08136,-0.09,-1.59408,0
0.07234245,-8.57499174,73.4999292,-0.15768,-0.2772,-0.18792,0
2.15580501,-6.80983596,73.36971279,-0.27792,-1.0728,-0.23832,0
-0.87775506,-10.68256845,73.49028354,0.1404,-1.54656,-0.37368,0
-0.39547206,-8.95117248,73.83270447,-0.43776,-0.02448,1.728,0
-1.5915339,-9.30323907,74.16547974,-0.51192,-1.30464,2.70936,0
1.77962427,-9.03798342,74.04008616,0.09576,-1.97712,2.5524,0
3.09143403,-9.0186921,73.79412183,0.18864,-2.04264,2.6172,0
-0.88740072,-6.59280861,74.34392445,0.2304,-1.37016,2.90664,0
2.24261595,-8.74861362,74.57542029,0.34128,-1.08072,1.38384,0
1.46131749,-8.50264929,74.35357011,0.35352,-1.27368,0.12312,0
2.90816649,-7.716528,73.89057843,0.22104,-1.77408,-1.27584,0
2.81653272,-7.75028781,74.50790067,0.00288,-1.78344,-1.20096,0
3.46279194,-7.83709875,73.43723241,0.29376,-0.80064,-2.17944,0
2.52716292,-7.17637104,74.31498747,0.306,-0.76392,-2.85984,0
2.46446613,-7.81780743,74.10278295,-0.03672,-0.46872,-2.6784,0
0.71377884,-6.46741503,75.19274253,0.17064,-0.13464,-2.07576,0
0.74753865,-6.24556485,75.32778177,-0.0324,0.07056,-1.90512,0
1.07549109,-9.69871113,75.17827404,0.00144,-0.29448,-1.93464,0
0.74753865,-7.4271582,75.26026215,0.09288,-0.52992,-2.34432,0
1.98700596,-8.20845666,75.42423837,-0.14328,-0.88128,-1.8036,0
1.61564805,-7.64900838,74.81173896,-0.09144,-0.73008,-1.83816,0
2.22332463,-7.44644952,75.25061649,-0.20952,-0.4644,-2.41272,0
2.2185018,-8.36761005,74.753865,-0.30528,-0.56808,-2.88648,0
-0.68966469,-6.95934369,74.95160103,-0.3096,-0.69264,-3.1572,0
3.27470157,-12.88660176,73.30219317,-0.31896,-0.71424,-2.66328,0
-0.70413318,-9.49132944,74.66223123,-0.68256,-0.71928,-2.58768,0
-0.38100357,-8.8257789,74.43073539,-0.08712,-0.68184,-2.56176,0
2.77312725,-7.50914631,74.92266405,-0.0504,-0.95544,-2.49336,0
1.88572653,-7.52843763,74.42591256,0.23328,-1.28304,-3.42432,0
2.98050894,-6.9448752,73.73142504,0.30312,-1.14048,-2.94048,0
1.95806898,-5.21830206,74.93230971,-0.04824,-0.92736,-2.10312,0
1.50472296,-6.21180504,75.04805763,-0.24192,-0.22824,-1.92672,0
