Timestamp,Yaw,Pitch,Roll,Qtn[0], Qtn[1], Qtn[2], Qtn[3],Rate X,Rate Y,Rate Z,Accel X,Accel Y,Accel Z,Temp,Pres,dTime,dTheta X,dTheta Y,dTheta Z,dVel X,dVel Y,dVel Z,AccelNed X,AccelNed Y,AccelNed Z,LinearAccel X,LinearAccel Y,LinearAccel Z,LinearAccelNed X,LinearAccelNed Y,LinearAccelNed Z
2591.3,-7.4396,89.4415,164.219,-0.7086,-0.0507329,0.701852,-0.0521194,0.00440606,0.000354175,0.000707978,9.78658,0.0167445,0.133833,32.8,99.277,0.025001,0.00619028,-0.00442999,0.0402632,0.244365,-0.000114706,0.00245063,-0.0354378,-0.0483292,-9.78732,-0.00670503,0.0426943,0.0420126,-0.0354378,-0.0483292,0.00642395
2591.33,-7.4396,89.4415,164.219,-0.7086,-0.0507329,0.701852,-0.0521194,0.00440606,0.000354175,0.000707978,9.78658,0.0167445,0.133833,32.8,99.277,0.025001,0.00619028,-0.00442999,0.0402632,0.244365,-0.000114706,0.00245063,-0.0354378,-0.0483292,-9.78732,-0.00670503,0.0426943,0.0420126,-0.0354378,-0.0483292,0.00642395
2591.35,-7.41378,89.4415,164.241,-0.708601,-0.0507601,0.701847,-0.0521447,-0.00273281,0.00118761,-0.000952929,9.81747,-0.0127543,0.084154,32.8,99.289,0.025001,0.00328233,-0.00465264,0.0411247,0.24491,-0.000845281,0.00183334,0.00980224,-0.011946,-9.81783,0.0241908,0.0131784,-0.00773806,0.00980224,-0.011946,-0.0240822
2591.38,-7.41378,89.4415,164.241,-0.708601,-0.0507601,0.701847,-0.0521447,-0.00273281,0.00118761,-0.000952929,9.81747,-0.0127543,0.084154,32.8,99.289,0.025001,0.00328233,-0.00465264,0.0411247,0.24491,-0.000845281,0.00183334,0.00980224,-0.011946,-9.81783,0.0241908,0.0131784,-0.00773806,0.00980224,-0.011946,-0.0240822
2591.4,-7.25122,89.4419,164.405,-0.7086,-0.0507594,0.701849,-0.0521235,-8.62E-05,-0.000245069,-0.00108092,9.75295,-0.0213468,0.0765136,32.8,99.265,0.025001,0.00695327,-0.00358377,0.040226,0.244197,9.73E-05,0.00197688,0.0154362,-0.00197302,-9.75326,-0.04033,0.00429795,-0.0153656,0.0154362,-0.00197302,0.0404835
2591.43,-7.25122,89.4419,164.405,-0.7086,-0.0507594,0.701849,-0.0521235,-8.62E-05,-0.000245069,-0.00108092,9.75295,-0.0213468,0.0765136,32.8,99.265,0.025001,0.00695327,-0.00358377,0.040226,0.244197,9.73E-05,0.00197688,0.0154362,-0.00197302,-9.75326,-0.04033,0.00429795,-0.0153656,0.0154362,-0.00197302,0.0404835
2591.45,-7.10958,89.4422,164.536,-0.708598,-0.0508327,0.701842,-0.0521812,-0.00105971,0.000122352,-0.00027761,9.78945,-0.0554559,0.101688,32.8,99.289,0.025,1.78E-05,-0.00409132,0.0407213,0.244776,-0.000525311,0.00281585,-0.014009,0.0282861,-9.79009,-0.00382673,-0.0300116,0.00971524,-0.014009,0.0282861,0.00365734
2591.48,-7.08375,89.4405,164.564,-0.708612,-0.0508155,0.70183,-0.0521655,0.00209883,0.00106084,0.000810849,9.85542,-0.0145355,0.151089,32.8,99.289,0.024999,0.00723498,-0.00332109,0.0410828,0.244547,-0.000482886,0.00312094,-0.0559566,-0.0194499,-9.85641,0.0621434,0.0109533,0.0587765,-0.0559566,-0.0194499,-0.0626659
2591.5,-7.08375,89.4405,164.564,-0.708612,-0.0508155,0.70183,-0.0521655,0.00209883,0.00106084,0.000810849,9.85542,-0.0145355,0.151089,32.8,99.289,0.024999,0.00723498,-0.00332109,0.0410828,0.244547,-0.000482886,0.00312094,-0.0559566,-0.0194499,-9.85641,0.0621434,0.0109533,0.0587765,-0.0559566,-0.0194499,-0.0626659
2591.53,-7.40898,89.4611,164.238,-0.708483,-0.0508316,0.701959,-0.052169,-0.00447324,-0.072098,-0.0114248,20.0757,0.210555,-0.0531699,32.785,99.277,0.024999,0.000917482,-0.026305,0.0379776,0.296782,0.000171427,0.00164957,0.270671,-0.224975,-20.0738,10.2824,0.235609,-0.141932,0.270671,-0.224975,-10.2801
